CMDLINE C:\Users\Firefly\GPU_Project\Anaconda\envs\rltest\python.exe gpu_RL.py
MEM 1159.109375 1623599078.7858
MEM 1159.109375 1623599078.8958
MEM 1159.109375 1623599079.0078
MEM 1159.109375 1623599079.1199
MEM 1159.109375 1623599079.2319
MEM 1159.109375 1623599079.3439
MEM 1159.109375 1623599079.4559
MEM 1159.109375 1623599079.5679
MEM 1159.109375 1623599079.6799
MEM 1159.109375 1623599079.7919
MEM 1159.109375 1623599079.9039
MEM 1159.109375 1623599080.0159
MEM 1159.109375 1623599080.1279
MEM 1159.109375 1623599080.2399
MEM 1159.109375 1623599080.3519
MEM 1159.109375 1623599080.4639
MEM 1159.109375 1623599080.5759
MEM 1159.109375 1623599080.6879
MEM 1159.109375 1623599080.7999
MEM 1159.109375 1623599080.9119
MEM 1159.109375 1623599081.0239
MEM 1159.109375 1623599081.1359
MEM 1159.109375 1623599081.2479
MEM 1159.109375 1623599081.3599
MEM 1159.109375 1623599081.4719
MEM 1159.109375 1623599081.5839
MEM 1159.109375 1623599081.6959
MEM 1159.109375 1623599081.8079
MEM 1159.109375 1623599081.9199
MEM 1159.109375 1623599082.0319
MEM 1159.109375 1623599082.1439
MEM 1159.109375 1623599082.2559
MEM 1159.109375 1623599082.3679
MEM 1159.109375 1623599082.4799
MEM 1159.109375 1623599082.5919
MEM 1159.109375 1623599082.7019
MEM 1159.109375 1623599082.8139
MEM 1159.109375 1623599082.9259
MEM 1159.109375 1623599083.0379
MEM 1159.109375 1623599083.1499
MEM 1159.109375 1623599083.2619
MEM 1159.109375 1623599083.3739
MEM 1159.109375 1623599083.4859
MEM 1159.109375 1623599083.5979
MEM 1159.109375 1623599083.7099
MEM 1159.109375 1623599083.8219
MEM 1159.109375 1623599083.9339
MEM 1159.109375 1623599084.0459
MEM 1159.109375 1623599084.1579
MEM 1159.109375 1623599084.2699
MEM 1159.109375 1623599084.3799
MEM 1159.109375 1623599084.4919
MEM 1159.109375 1623599084.6039
MEM 1159.109375 1623599084.7159
MEM 1159.109375 1623599084.8279
MEM 1159.109375 1623599084.9399
MEM 1159.109375 1623599085.0519
MEM 1159.109375 1623599085.1619
MEM 1159.109375 1623599085.2739
MEM 1159.109375 1623599085.3859
MEM 1159.109375 1623599085.4979
MEM 1159.109375 1623599085.6099
MEM 1159.109375 1623599085.7219
MEM 1159.109375 1623599085.8329
MEM 1159.109375 1623599085.9439
MEM 1159.109375 1623599086.0559
MEM 1159.109375 1623599086.1679
MEM 1159.109375 1623599086.2799
MEM 1159.109375 1623599086.3919
MEM 1159.109375 1623599086.5039
MEM 1159.109375 1623599086.6159
MEM 1159.109375 1623599086.7259
MEM 1159.109375 1623599086.8380
MEM 1159.109375 1623599086.9500
MEM 1159.109375 1623599087.0620
MEM 1159.109375 1623599087.1740
MEM 1159.109375 1623599087.2860
MEM 1159.109375 1623599087.3960
MEM 1159.109375 1623599087.5080
MEM 1159.109375 1623599087.6200
MEM 1159.109375 1623599087.7320
MEM 1159.109375 1623599087.8440
MEM 1159.109375 1623599087.9560
MEM 1159.109375 1623599088.0680
MEM 1159.109375 1623599088.1800
MEM 1159.109375 1623599088.2920
MEM 1159.109375 1623599088.4040
MEM 1159.109375 1623599088.5160
MEM 1159.109375 1623599088.6280
MEM 1159.109375 1623599088.7400
MEM 1159.109375 1623599088.8500
MEM 1159.109375 1623599088.9620
MEM 1159.109375 1623599089.0740
MEM 1159.109375 1623599089.1860
